Index;X;Y;GT_Label;Predicted_Label
1;0.087224;0.141361;0;0
2;0.703939;0.40065300000000004;2;2
3;0.139431;0.248061;-1;-1
4;0.572867;0.397989;2;2
5;0.458449;0.052004999999999996;5;3
6;0.138826;0.30635300000000004;-1;-1
7;0.153628;0.06652999999999999;0;0
8;0.167502;0.053427999999999996;0;0
9;0.5451229999999999;0.09973;5;3
10;0.41866800000000004;0.268447;1;1
11;0.206671;0.165716;1;1
12;0.303845;0.190751;0;0
13;0.102652;0.200203;0;0
14;0.231185;0.31554299999999996;1;1
15;0.08695499999999999;0.072085;0;0
16;0.628602;0.23402199999999998;4;4
17;0.642867;0.21796500000000002;4;4
18;0.788417;0.28257;3;3
19;0.216998;0.304647;1;1
20;0.774375;0.268288;3;3
21;0.416318;0.34941500000000003;1;1
22;0.111858;0.12154000000000001;0;0
23;0.556296;0.36430500000000005;2;2
24;0.7856569999999999;0.231965;3;3
25;0.6498470000000001;0.193019;4;4
26;0.7828039999999999;0.479433;-1;-1
27;0.547396;0.295677;4;4
28;0.499275;0.12422799999999999;5;3
29;0.320251;0.079588;0;0
30;0.538899;0.11642999999999999;5;3
31;0.32274899999999995;0.364257;1;1
32;0.683227;0.42066000000000003;2;2
33;0.087345;0.30206900000000003;0;0
34;0.851519;0.136131;3;3
35;0.626171;0.20436700000000002;4;4
36;0.620192;0.373604;2;2
37;0.29254600000000003;0.393965;1;1
38;0.238244;0.08355;0;0
39;0.8753209999999999;0.253941;3;3
40;0.520826;0.16184500000000002;5;3
41;0.07839600000000001;0.102332;0;0
42;0.394685;0.40594600000000003;1;1
43;0.487821;0.082799;5;3
44;0.767305;0.215398;3;3
45;0.8362729999999999;0.424388;-1;-1
46;0.666053;0.15976500000000002;-1;-1
47;0.606391;0.167075;4;4
48;0.489505;0.06914400000000001;5;3
49;0.101537;0.2218;0;0
50;0.554741;0.412968;2;2
51;0.643875;0.170422;4;4
52;0.10399000000000001;0.182756;0;0
53;0.10028;0.111489;0;0
54;0.196;0.318415;1;1
55;0.6535810000000001;0.235537;4;-1
56;0.118422;0.11263900000000002;0;0
57;0.30001300000000003;0.134141;0;0
58;0.29851300000000003;0.297294;0;0
59;0.539601;0.308465;4;4
60;0.181701;0.32599;1;1
61;0.875123;0.21836599999999998;3;3
62;0.208452;0.25185;1;1
63;0.890115;0.36978;3;3
64;0.870669;0.346527;3;3
65;0.44010200000000005;0.160673;1;1
66;0.312289;0.065294;0;0
67;0.666866;0.408898;2;2
68;0.663374;0.432037;2;-1
69;0.050644;0.199944;-1;-1
70;0.42465699999999995;0.22683699999999998;1;1
71;0.490821;0.09869299999999999;5;3
72;0.296439;0.23261500000000002;0;0
73;0.263588;0.35881;1;1
74;0.06953200000000001;0.29461;0;0
75;0.551235;0.424112;2;2
76;0.44019300000000006;0.41689499999999996;1;1
77;0.562369;0.04745;5;3
78;0.765289;0.196829;3;3
79;0.09626;0.16004300000000002;0;0
80;0.079722;0.274805;0;0
81;0.41253500000000004;0.21488800000000002;1;1
82;0.6971569999999999;0.419091;2;2
83;0.167176;0.05362000000000001;0;0
84;0.223358;0.22738000000000003;1;1
85;0.30777;0.21466500000000002;0;0
86;0.613428;0.16981300000000002;4;4
87;0.37101300000000004;0.352137;-1;1
88;0.125096;0.160412;0;0
89;0.822807;0.094936;3;3
90;0.18516;0.191497;1;1
91;0.5892890000000001;0.049235;5;3
92;0.785995;0.268018;3;3
93;0.077454;0.12097000000000001;0;0
94;0.45125200000000004;0.096751;5;3
95;0.858856;0.221356;3;3
96;0.312296;0.347275;-1;-1
97;0.360313;0.362741;1;1
98;0.8405450000000001;0.069109;3;3
99;0.25348699999999996;0.41243;1;1
100;0.441722;0.28123200000000004;1;1
101;0.48390600000000006;0.058711;5;3
102;0.133374;0.07181;0;0
103;0.227431;0.393665;1;1
104;0.529487;0.223259;5;3
105;0.399371;0.15751600000000002;1;1
106;0.33568400000000004;0.097586;0;0
107;0.342121;0.244617;0;0
108;0.7959510000000001;0.04816;3;3
109;0.209393;0.356813;1;1
110;0.382912;0.357027;1;1
111;0.300168;0.062463;0;0
112;0.8658319999999999;0.13910899999999998;3;3
113;0.700508;0.407963;2;2
114;0.570343;0.390529;2;2
115;0.708596;0.18165499999999998;-1;-1
116;0.7755380000000001;0.21057800000000002;3;3
117;0.096097;0.230762;0;0
118;0.502417;0.364859;2;-1
119;0.323019;0.113631;0;0
120;0.7919039999999999;0.217232;3;3
121;0.295954;0.401907;1;1
122;0.315286;0.090791;0;0
123;0.527986;0.047851;5;-1
124;0.803674;0.41344899999999996;-1;-1
125;0.10676500000000001;0.160696;0;0
126;0.7869229999999999;0.240471;3;3
127;0.573717;0.270524;4;4
128;0.521291;0.21473299999999998;5;3
129;0.640204;0.17033099999999998;4;4
130;0.623989;0.27821599999999996;4;4
131;0.9820530000000001;0.26867399999999997;-1;-1
132;0.598796;0.29884499999999997;4;4
133;0.360212;0.099502;-1;-1
134;0.575808;0.42102399999999995;2;2
135;0.626617;0.077546;5;3
136;0.304152;0.35846500000000003;1;1
137;0.43734300000000004;0.151903;1;-1
138;0.5740770000000001;0.298701;4;4
139;0.114514;0.15573800000000002;0;0
140;0.836736;0.29752399999999996;3;3
141;0.584094;0.302843;4;4
142;0.516088;0.39976;2;2
143;0.20464100000000002;0.255986;1;1
144;0.947304;0.130304;-1;-1
145;0.5584140000000001;0.165692;5;3
146;0.622888;0.055375;5;3
147;0.548235;0.215288;5;3
148;0.44326400000000005;0.41793100000000005;1;1
149;0.6519010000000001;0.052621;5;-1
150;0.410944;0.374583;1;1
151;0.8614280000000001;0.322125;3;3
152;0.666974;0.40021100000000004;2;2
153;0.844875;0.32296199999999997;3;3
154;0.20488;0.054835;0;0
155;0.280134;0.285479;0;0
156;0.331968;0.12942;0;0
157;0.33829899999999996;0.268396;0;0
158;0.218556;0.039827;-1;-1
159;0.301645;0.07279400000000001;0;0
160;0.7846390000000001;0.10238;3;3
161;0.572101;0.064748;5;3
162;0.621364;0.22122199999999997;4;4
163;0.40231;0.228123;1;1
164;0.117291;0.173981;0;0
165;0.654292;0.46185600000000004;-1;-1
166;0.778938;0.269431;3;3
167;0.41910200000000003;0.08515;5;3
168;0.41577299999999995;0.181979;1;1
169;0.280938;0.2883;0;0
170;0.619486;0.143957;4;4
171;0.30356500000000003;0.070511;0;0
172;0.32902600000000004;0.41776800000000003;1;1
173;0.322565;0.152034;0;0
174;0.8475020000000001;0.22240900000000002;3;3
175;0.848778;0.31203000000000003;3;3
176;0.421067;0.166527;1;1
177;0.327315;0.377347;1;1
178;0.338748;0.170422;0;0
179;0.855783;0.265179;3;3
180;0.296981;0.41875100000000004;1;1
181;0.089994;0.30735;0;0
182;0.075086;0.138826;0;0
183;0.17166099999999998;0.099553;0;0
184;0.879711;0.299687;3;3
185;0.439788;0.336291;1;1
186;0.30816;0.211339;0;0
187;0.036382;0.08948099999999999;-1;-1
188;0.770414;0.23388499999999998;3;3
189;0.8034979999999999;0.089955;3;3
190;0.520423;0.398034;2;2
191;0.33852899999999997;0.10396500000000002;0;0
192;0.552992;0.31508;4;4
193;0.5627489999999999;0.071011;5;3
194;0.656407;0.195872;4;-1
195;0.853633;0.209941;3;3
196;0.59715;0.159351;4;4
197;0.699443;0.413891;2;2
198;0.429778;0.054542999999999994;5;3
199;0.623684;0.389112;2;2
200;0.620564;0.330246;4;4
201;0.20486300000000002;0.347013;1;1
202;0.21083200000000002;0.340355;1;1
203;0.431641;0.40045;1;1
204;0.517275;0.388728;2;2
205;0.146059;0.059812;0;0
206;0.848601;0.337142;3;3
207;0.310527;0.097974;0;0
208;0.529032;0.30330999999999997;4;-1
209;0.415163;0.329056;1;1
210;0.439855;0.255185;1;1
211;0.879187;0.120978;3;3
212;0.636914;0.16306199999999998;4;4
213;0.41169799999999995;0.189152;1;1
214;0.650931;0.31549499999999997;4;4
215;0.40021599999999996;0.405783;1;1
216;0.75953;0.23781100000000002;3;3
217;0.121233;0.318267;0;-1
218;0.8457809999999999;0.43596599999999996;-1;-1
219;0.334538;0.086562;0;0
220;0.6053390000000001;0.19395199999999999;4;4
221;0.086741;0.27745;0;0
222;0.760077;0.241839;3;3
223;0.08931599999999999;0.212904;0;0
224;0.6017640000000001;0.05401;5;3
225;0.437671;0.322898;1;1
226;0.200685;0.185278;1;1
227;0.212903;0.14754;1;-1
228;0.842551;0.181131;3;3
229;0.617334;0.175291;4;4
230;0.32626700000000003;0.22573000000000001;0;0
231;0.301088;0.092968;0;0
232;0.246054;0.394994;1;1
233;0.9666530000000001;0.088808;-1;-1
234;0.6752560000000001;0.410289;2;2
235;0.22462;0.32260700000000003;1;1
236;0.106749;0.320497;0;0
237;0.570693;0.251661;-1;-1
238;0.656324;0.265495;4;4
239;0.12621400000000002;0.132642;0;0
240;0.280196;0.39665500000000004;1;1
241;0.81435;0.227481;3;3
242;0.586695;0.08762;5;3
243;0.387575;0.373666;1;1
244;0.216968;0.413803;1;1
245;0.27113400000000004;0.394494;1;1
