Index;X;Y;GT_Label;Predicted_Label
0;0.087224;0.141361;0;0
1;0.703939;0.40065300000000004;2;2
2;0.139431;0.248061;-1;0
3;0.572867;0.397989;2;2
4;0.458449;0.052004999999999996;5;5
5;0.138826;0.30635300000000004;-1;0
6;0.153628;0.06652999999999999;0;0
7;0.167502;0.053427999999999996;0;0
8;0.5451229999999999;0.09973;5;5
9;0.41866800000000004;0.268447;1;1
10;0.206671;0.165716;1;1
11;0.303845;0.190751;0;0
12;0.102652;0.200203;0;0
13;0.231185;0.31554299999999996;1;1
14;0.08695499999999999;0.072085;0;0
15;0.628602;0.23402199999999998;4;4
16;0.642867;0.21796500000000002;4;4
17;0.788417;0.28257;3;3
18;0.216998;0.304647;1;1
19;0.774375;0.268288;3;3
20;0.416318;0.34941500000000003;1;1
21;0.111858;0.12154000000000001;0;0
22;0.556296;0.36430500000000005;2;2
23;0.7856569999999999;0.231965;3;3
24;0.6498470000000001;0.193019;4;4
25;0.7828039999999999;0.479433;-1;-1
26;0.547396;0.295677;4;4
27;0.499275;0.12422799999999999;5;5
28;0.320251;0.079588;0;0
29;0.538899;0.11642999999999999;5;5
30;0.32274899999999995;0.364257;1;1
31;0.683227;0.42066000000000003;2;2
32;0.087345;0.30206900000000003;0;0
33;0.851519;0.136131;3;3
34;0.626171;0.20436700000000002;4;4
35;0.620192;0.373604;2;2
36;0.29254600000000003;0.393965;1;1
37;0.238244;0.08355;0;0
38;0.8753209999999999;0.253941;3;3
39;0.520826;0.16184500000000002;5;5
40;0.07839600000000001;0.102332;0;0
41;0.394685;0.40594600000000003;1;1
42;0.487821;0.082799;5;5
43;0.767305;0.215398;3;3
44;0.8362729999999999;0.424388;-1;-1
45;0.666053;0.15976500000000002;-1;4
46;0.606391;0.167075;4;4
47;0.489505;0.06914400000000001;5;5
48;0.101537;0.2218;0;0
49;0.554741;0.412968;2;2
50;0.643875;0.170422;4;4
51;0.10399000000000001;0.182756;0;0
52;0.10028;0.111489;0;0
53;0.196;0.318415;1;1
54;0.6535810000000001;0.235537;4;4
55;0.118422;0.11263900000000002;0;0
56;0.30001300000000003;0.134141;0;0
57;0.29851300000000003;0.297294;0;0
58;0.539601;0.308465;4;4
59;0.181701;0.32599;1;1
